date,fear_greed_index,momentum,strength,breadth,put_call,volatility,junk_bond,safe_haven
1998-01-02,65.2,40.29,91.54,59.13,83.87,53.09,70.83,57.61
1998-01-05,65.12,41.17,93.5,57.11,80.12,49.71,66.67,67.54
1998-01-06,61.33,34.92,83.36,59.19,74.93,45.04,66.67,65.21
1998-01-07,60.7,33.22,80.87,50.72,77.54,47.16,70.83,64.53
1998-01-08,57.44,28.51,73.18,49.15,73.84,43.79,66.67,66.94
1998-01-09,47.05,12.33,45.77,49.22,63.08,34.16,62.5,62.32
1998-01-12,47.28,18.82,56.9,23.06,66.16,36.57,62.5,66.93
1998-01-13,54.21,26.1,69.38,34.6,78.12,46.8,58.33,66.12
1998-01-14,58.67,29.29,75.01,40.81,86.72,51.9,62.5,64.46
1998-01-15,58.55,25.02,68.04,53.59,88.09,52.98,62.5,59.63
1998-01-16,63.14,30.93,78.46,52.59,95.69,59.45,62.5,62.37
1998-01-20,66.24,40.43,94.98,43.69,95.64,59.45,62.5,66.97
1998-01-21,65.27,35.85,87.45,52.26,91.93,56.29,66.67,66.46
1998-01-22,62.05,31.33,79.94,51.52,89.32,54.02,66.67,61.54
1998-01-23,61.8,28.15,74.67,55.41,88.71,53.45,75.0,57.19
1998-01-26,58.68,27.69,74.05,42.35,86.06,51.11,66.67,62.82
1998-01-27,61.99,34.42,85.72,30.08,93.26,57.22,70.83,62.37
1998-01-28,64.31,39.09,93.88,42.11,94.15,57.97,62.5,60.47
1998-01-29,67.16,43.5,100.0,43.28,95.89,59.45,62.5,65.51
1998-01-30,66.38,40.39,95.0,45.97,96.65,60.09,62.5,64.07
1998-02-02,66.35,52.05,100.0,29.84,97.09,60.49,62.5,62.48
1998-02-03,67.67,54.47,100.0,38.01,99.98,62.97,62.5,55.77
1998-02-04,70.81,54.75,100.0,53.11,100.0,63.4,66.67,57.73
1998-02-05,71.11,52.6,97.03,66.03,96.92,60.74,66.67,57.78
1998-02-06,71.79,57.27,100.0,55.53,100.0,63.54,66.67,59.5
1998-02-09,71.11,55.94,98.51,63.85,95.61,59.81,62.5,61.55
1998-02-10,72.66,60.17,100.0,63.02,99.29,63.0,62.5,60.64
1998-02-11,72.92,60.26,100.0,62.67,100.0,64.01,62.5,60.99
1998-02-12,73.76,62.11,100.0,56.06,100.0,66.34,66.67,65.11
1998-02-13,75.1,59.25,96.64,67.71,99.47,65.95,66.67,70.01
1998-02-17,73.41,60.22,98.85,57.4,95.6,62.64,66.67,72.49
1998-02-18,73.54,64.95,100.0,47.36,99.99,66.59,66.67,69.21
1998-02-19,72.97,62.38,96.93,51.66,99.02,65.8,66.67,68.34
1998-02-20,74.04,65.18,100.0,41.71,100.0,68.97,70.83,71.55
1998-02-23,76.47,66.83,100.0,44.73,99.92,69.0,75.0,79.81
1998-02-24,73.71,62.05,94.0,49.88,98.35,67.71,75.0,68.97
1998-02-25,75.74,68.33,100.0,45.54,100.0,70.33,70.83,75.18
1998-02-26,76.64,70.9,100.0,47.76,99.82,70.29,75.0,72.72
1998-02-27,74.44,70.56,100.0,47.91,100.0,70.58,66.67,65.37
1998-03-02,72.11,68.93,98.75,49.47,97.31,68.28,62.5,59.56
1998-03-03,71.41,70.73,100.0,45.96,97.77,68.82,62.5,54.08
1998-03-04,70.27,67.54,96.45,52.21,95.48,66.88,62.5,50.86
1998-03-05,65.75,60.2,87.16,52.01,89.95,62.03,62.5,46.38
1998-03-06,71.71,71.07,100.0,44.05,97.0,68.46,62.5,58.88
1998-03-09,68.66,68.6,97.47,40.96,92.5,64.55,58.33,58.23
1998-03-10,71.53,74.6,100.0,36.28,95.6,67.42,62.5,64.34
1998-03-11,72.86,76.2,100.0,40.23,97.66,69.36,62.5,64.09
1998-03-12,72.64,76.24,100.0,41.52,100.0,71.66,54.17,64.89
1998-03-13,71.95,74.81,99.06,47.74,97.96,70.01,54.17,59.89
1998-03-16,72.78,79.92,100.0,42.39,98.61,70.73,54.17,63.67
1998-03-17,71.61,79.91,100.0,39.55,97.82,70.19,54.17,59.66
1998-03-18,72.63,82.0,100.0,37.23,99.2,71.52,58.33,60.12
1998-03-19,73.43,83.63,100.0,39.91,100.0,73.42,54.17,62.88
1998-03-20,71.16,88.07,100.0,27.91,96.12,70.08,50.0,65.93
1998-03-23,70.1,85.4,97.62,35.22,90.81,65.45,50.0,66.16
1998-03-24,71.38,90.18,100.0,30.75,88.62,63.54,50.0,76.55
1998-03-25,69.01,87.37,97.59,41.65,80.39,56.25,54.17,65.66
1998-03-26,68.79,85.95,96.86,46.74,79.3,55.28,54.17,63.2
1998-03-27,67.39,82.29,93.4,52.69,76.64,52.91,54.17,59.61
1998-03-30,65.97,80.61,92.21,52.0,71.89,48.64,54.17,62.31
1998-03-31,67.75,84.3,97.48,54.71,73.74,50.22,45.83,68.0
1998-04-01,70.25,87.04,100.0,58.69,77.2,53.27,41.67,73.9
1998-04-02,72.85,92.7,100.0,45.74,82.82,58.26,45.83,84.61
1998-04-03,71.31,93.38,100.0,40.62,83.45,58.84,41.67,81.2
1998-04-06,68.37,91.94,99.18,31.44,80.85,56.5,41.67,76.99
1998-04-07,63.53,84.92,91.87,28.94,76.09,52.23,41.67,69.03
1998-04-08,63.64,80.03,86.99,43.6,78.16,53.99,41.67,61.04
1998-04-09,66.58,84.23,92.57,47.29,84.9,59.95,37.5,59.61
1998-04-13,65.15,83.01,91.83,47.62,79.82,55.42,41.67,56.7
1998-04-14,67.74,85.57,95.51,56.6,84.56,59.59,37.5,54.85
1998-04-15,70.22,86.77,97.78,57.96,87.49,62.18,41.67,57.69
1998-04-16,67.37,80.09,90.46,63.52,82.82,57.97,41.67,55.04
1998-04-17,69.61,87.1,100.0,49.57,88.09,62.64,41.67,58.23
1998-04-20,69.77,86.74,100.0,53.89,89.58,63.97,41.67,52.58
1998-04-21,71.44,87.53,100.0,57.18,91.47,65.7,45.83,52.37
1998-04-22,70.81,88.84,100.0,49.8,93.33,67.39,45.83,50.46
1998-04-23,67.09,82.26,92.86,45.12,88.68,63.22,45.83,51.68
1998-04-24,63.79,75.29,85.25,46.92,83.2,58.3,45.83,51.74
1998-04-27,53.46,63.23,70.72,38.94,66.68,43.5,50.0,41.18
1998-04-28,57.51,61.51,67.87,55.52,74.45,50.4,50.0,42.84
1998-04-29,60.2,65.78,74.26,55.39,79.81,55.39,50.0,40.78
1998-04-30,64.89,73.97,86.53,49.28,85.99,61.14,50.0,47.3
1998-05-01,66.94,77.86,92.85,42.78,93.08,67.74,50.0,44.23
1998-05-04,65.19,77.46,93.6,43.65,88.6,64.22,50.0,38.82
1998-05-05,62.16,73.17,88.64,41.46,83.53,60.13,50.0,38.18
1998-05-06,60.13,66.83,80.64,49.35,77.76,55.35,50.0,40.94
1998-05-07,58.16,60.99,72.85,51.76,75.0,53.2,50.0,43.32
1998-05-08,63.52,67.05,82.57,44.37,86.35,63.33,58.33,42.61
1998-05-11,61.08,65.45,81.09,38.54,84.01,61.6,54.17,42.71
1998-05-12,61.18,69.36,88.33,24.73,83.85,61.85,54.17,45.96
1998-05-13,62.05,70.08,90.76,28.27,85.65,63.79,50.0,45.82
1998-05-14,63.1,68.34,89.58,27.11,88.55,66.67,54.17,47.29
1998-05-15,62.63,62.96,82.75,32.18,84.63,63.79,70.83,41.28
1998-05-18,59.12,60.65,80.21,23.13,78.82,59.3,66.67,45.07
1998-05-19,62.64,61.84,83.04,32.64,83.99,63.97,66.67,46.33
1998-05-20,62.85,65.99,90.74,14.62,85.8,65.77,66.67,50.35
1998-05-21,62.81,62.93,87.17,21.7,87.65,67.6,62.5,50.12
1998-05-22,62.62,60.09,83.56,18.2,89.02,69.0,66.67,51.83
1998-05-26,57.03,50.99,70.08,19.9,75.4,57.94,62.5,62.42
1998-05-27,54.38,49.43,68.61,11.25,72.99,56.07,58.33,63.97
1998-05-28,60.22,51.57,73.01,29.07,80.8,62.72,62.5,61.85
1998-05-29,58.21,47.46,67.46,45.21,78.0,60.63,58.33,50.4
1998-06-01,53.76,46.96,67.59,28.35,71.13,55.21,58.33,48.72
1998-06-02,54.3,47.6,69.42,24.39,74.6,58.19,58.33,47.55
1998-06-03,53.77,41.72,60.83,42.07,70.73,55.14,58.33,47.58
1998-06-04,58.01,47.44,70.4,36.05,77.8,60.99,62.5,50.91
1998-06-05,61.55,56.61,85.44,21.12,84.05,66.16,58.33,59.13
1998-06-08,62.12,56.99,86.82,31.13,80.39,63.29,58.33,57.86
1998-06-09,63.53,57.77,89.12,32.89,80.59,63.51,58.33,62.49
1998-06-10,58.91,54.04,83.35,26.23,76.26,60.06,54.17,58.28
1998-06-11,52.63,44.44,66.25,32.73,66.96,52.55,50.0,55.45
1998-06-12,53.65,46.0,70.25,21.36,70.41,55.39,54.17,57.95
1998-06-15,46.59,34.33,49.76,30.83,56.27,44.04,54.17,56.71
1998-06-16,49.94,39.21,59.69,36.27,61.22,48.13,50.0,55.08
1998-06-17,56.13,48.57,78.01,32.55,69.58,54.99,54.17,55.04
1998-06-18,54.66,47.59,77.32,23.2,71.64,56.75,54.17,51.97
1998-06-19,55.72,44.06,71.95,32.4,73.63,58.48,54.17,55.38
1998-06-22,59.82,44.7,74.35,44.55,73.35,58.41,66.67,56.74
1998-06-23,64.9,52.25,89.63,44.81,81.01,64.76,58.33,63.54
1998-06-24,67.33,58.2,100.0,42.62,81.4,65.3,58.33,65.42
1998-06-25,66.52,55.53,96.65,46.73,80.04,64.48,58.33,63.86
1998-06-26,67.56,56.67,100.0,44.33,83.73,67.67,54.17,66.36
1998-06-29,69.14,58.54,100.0,52.18,82.45,66.92,58.33,65.54
1998-06-30,70.89,55.5,95.77,72.15,81.57,66.42,58.33,66.49
1998-07-01,73.66,62.14,100.0,59.2,89.22,72.56,58.33,74.17
1998-07-02,73.04,60.32,98.12,57.41,90.54,73.74,58.33,72.77
1998-07-06,70.77,65.02,100.0,49.08,85.97,70.29,54.17,70.86
1998-07-07,70.73,62.87,97.73,51.4,85.83,70.33,58.33,68.62
1998-07-08,70.73,67.86,100.0,40.47,89.29,73.2,54.17,70.1
1998-07-09,70.83,63.07,93.57,53.95,87.49,71.98,58.33,67.41
1998-07-10,70.65,64.93,98.31,42.22,88.35,72.84,58.33,69.52
1998-07-13,70.57,64.39,99.02,44.99,86.43,71.62,62.5,65.02
1998-07-14,71.07,69.57,100.0,33.42,87.89,72.99,62.5,71.12
1998-07-15,72.07,67.26,97.81,49.68,87.61,72.95,58.33,70.83
1998-07-16,74.04,70.81,100.0,45.0,91.74,76.26,62.5,71.99
1998-07-17,74.55,71.2,100.0,39.67,95.02,78.92,66.67,70.35
1998-07-20,72.88,69.0,97.96,44.9,89.63,74.93,62.5,71.27
1998-07-21,66.52,58.79,83.35,52.85,76.48,65.01,62.5,66.66
1998-07-22,62.99,57.45,82.59,37.98,75.35,64.22,62.5,60.84
1998-07-23,54.42,44.73,63.9,44.29,62.57,54.56,58.33,52.59
1998-07-24,53.56,44.49,64.7,32.5,62.55,54.56,62.5,53.58
1998-07-27,50.42,46.94,69.67,9.27,61.95,54.13,58.33,52.68
1998-07-28,45.43,37.97,56.59,20.05,52.01,46.52,58.33,46.56
1998-07-29,45.76,34.94,52.73,28.5,54.31,48.17,58.33,43.35
1998-07-30,50.03,42.96,66.35,21.59,64.46,55.82,54.17,44.83
1998-07-31,42.7,31.6,49.24,23.13,54.46,48.13,54.17,38.17
1998-08-03,38.52,27.16,42.92,17.41,49.09,43.89,54.17,34.98
1998-08-04,27.02,7.24,11.94,36.76,25.66,25.65,54.17,27.72
1998-08-05,27.45,11.48,19.1,16.81,31.94,30.06,54.17,28.61
1998-08-06,34.88,15.18,25.4,43.22,39.93,35.92,54.17,30.33
1998-08-07,41.99,14.79,25.26,81.78,45.77,40.16,54.17,31.99
1998-08-10,37.62,11.48,20.41,73.31,38.05,33.94,54.17,31.97
1998-08-11,27.24,4.4,9.53,51.34,23.97,22.59,50.0,28.87
1998-08-12,36.49,11.59,21.24,62.11,39.95,34.66,54.17,31.72
1998-08-13,31.32,6.85,14.09,58.15,34.14,29.74,50.0,26.3
1998-08-14,26.0,0.79,4.75,72.6,14.63,13.86,50.0,25.34
1998-08-17,30.0,10.76,20.82,45.77,26.59,22.77,54.17,29.12
1998-08-18,38.93,18.99,34.28,51.52,42.78,35.2,54.17,35.59
1998-08-19,35.38,17.22,31.87,37.47,41.88,34.16,50.0,35.04
1998-08-20,33.15,13.88,26.91,34.92,36.49,29.45,50.0,40.36
1998-08-21,27.24,8.67,18.95,30.61,23.09,18.18,50.0,41.19
1998-08-24,29.28,11.84,24.25,18.4,29.74,22.99,54.17,43.55
1998-08-25,28.67,13.95,27.87,3.43,36.89,28.27,37.5,52.78
1998-08-26,27.42,9.62,21.22,0.0,33.9,25.36,45.83,55.98
1998-08-27,14.92,0.0,0.0,11.58,2.27,0.0,45.83,44.75
1998-08-28,14.53,0.0,0.0,12.7,0.0,0.0,41.67,47.32
1998-08-31,15.01,0.0,0.0,36.33,0.0,0.0,37.5,31.23
1998-09-01,27.09,11.93,16.12,22.6,28.96,23.0,37.5,49.55
1998-09-02,31.83,10.87,14.47,61.26,28.67,22.17,41.67,43.69
1998-09-03,24.51,8.4,10.89,50.18,13.12,8.4,37.5,43.09
1998-09-04,24.25,5.92,7.24,68.8,7.66,2.86,37.5,39.8
1998-09-08,35.86,21.92,28.84,58.8,27.52,18.81,41.67,53.45
1998-09-09,30.92,16.53,21.32,49.42,22.33,13.62,37.5,55.73
1998-09-10,25.08,8.39,9.98,58.69,4.21,0.0,37.5,56.77
1998-09-11,29.72,17.83,22.57,55.16,10.78,4.44,33.33,63.97
1998-09-14,35.04,24.59,31.57,45.96,29.28,19.24,25.0,69.66
1998-09-15,36.85,27.26,35.04,39.73,36.75,24.94,29.17,65.06
1998-09-16,37.56,29.88,38.44,42.82,39.6,26.77,20.83,64.61
1998-09-17,34.91,21.51,26.84,65.19,29.48,17.35,20.83,63.2
1998-09-18,40.22,22.08,27.37,95.81,32.3,19.07,16.67,68.21
1998-09-21,39.58,23.5,29.03,85.26,33.22,19.21,16.67,70.17
1998-09-22,43.05,25.52,31.53,96.97,40.27,24.82,16.67,65.55
1998-09-23,48.66,37.37,47.42,73.65,54.17,36.7,16.67,74.66
1998-09-24,45.03,29.96,37.23,82.31,47.45,30.43,16.67,71.14
1998-09-25,43.62,30.73,38.12,73.26,48.2,30.75,4.17,80.09
1998-09-28,43.01,32.14,39.84,63.72,47.52,29.83,4.17,83.87
1998-09-29,42.65,32.39,39.98,55.75,44.05,26.37,0.0,100.0
1998-09-30,38.48,22.3,26.03,91.08,29.11,12.42,0.0,88.44
1998-10-01,31.28,12.72,12.69,77.77,21.94,5.18,0.0,88.65
1998-10-02,32.93,18.24,19.75,52.27,32.23,13.8,0.0,94.25
1998-10-05,26.03,13.98,13.63,22.87,25.68,7.1,0.0,98.96
1998-10-06,23.89,12.97,11.9,17.47,31.41,11.71,0.0,81.78
1998-10-07,16.84,8.78,5.84,1.66,25.03,5.1,3.23,68.27
1998-10-08,12.14,5.47,0.94,0.0,19.14,0.0,6.45,52.95
1998-10-09,18.77,13.89,11.81,11.43,30.78,10.01,9.68,43.78
1998-10-12,25.0,18.51,17.62,31.4,37.97,16.03,9.68,43.78
1998-10-13,23.03,17.84,16.35,23.69,38.18,15.57,6.45,43.15
1998-10-14,28.43,21.62,21.03,36.21,42.61,19.16,3.23,55.13
1998-10-15,38.85,35.5,39.31,30.15,59.91,35.05,0.0,72.03
1998-10-16,43.08,38.59,43.2,55.11,55.9,30.86,0.0,77.9
1998-10-19,49.01,40.72,45.81,83.96,61.33,35.64,3.23,72.38
1998-10-20,50.97,41.36,46.48,100.0,61.77,35.7,6.45,65.05
1998-10-21,49.13,43.42,49.09,96.02,61.83,35.42,0.0,58.12
1998-10-22,52.56,46.24,52.82,100.0,67.05,40.16,0.0,61.63
1998-10-23,49.62,43.72,49.41,100.0,65.04,38.07,0.0,51.09
1998-10-26,49.08,44.32,50.13,100.0,64.94,37.76,0.0,46.43
1998-10-27,47.84,42.15,42.1,99.14,63.54,36.15,0.0,51.77
1998-10-28,49.21,43.19,43.41,91.09,65.39,37.65,3.03,60.73
1998-10-29,53.16,49.13,51.92,78.5,74.16,45.9,3.03,69.49
1998-10-30,53.04,53.34,57.66,73.8,78.56,50.0,3.03,54.89
