date,fear_greed_index,momentum,strength,breadth,put_call,volatility,credit_spread,safe_haven
2004-04-28,38.65,0.0,0.98,18.56,42.52,42.52,95.36,70.63
2004-04-29,36.02,0.0,0.0,10.93,37.96,37.96,93.33,71.93
2004-04-30,33.77,0.0,4.0,18.65,28.91,28.91,94.41,61.53
2004-05-03,31.25,0.0,0.0,0.0,38.64,38.64,93.94,47.51
2004-05-04,32.76,0.0,3.42,8.62,40.06,40.06,93.47,43.73
2004-05-05,34.87,0.0,0.0,0.0,53.32,53.32,86.95,50.5
2004-05-06,30.09,0.0,0.0,2.22,32.54,32.54,92.66,50.66
2004-05-07,24.88,0.0,0.0,0.0,15.61,15.61,93.73,49.2
2004-05-10,19.66,0.0,0.0,0.0,0.0,0.0,97.75,39.87
2004-05-11,22.91,0.0,0.0,0.0,12.16,12.16,92.76,43.31
2004-05-12,26.5,0.0,0.0,3.54,20.76,20.76,92.33,48.11
2004-05-13,24.1,0.0,0.0,8.57,10.3,10.3,93.39,46.13
2004-05-14,24.88,0.0,0.0,5.17,18.51,18.51,91.51,40.5
2004-05-17,16.58,0.0,0.0,0.0,0.0,0.0,88.17,27.89
2004-05-18,20.61,0.0,0.0,2.11,7.74,7.74,89.32,37.34
2004-05-19,23.76,0.0,0.0,7.2,15.71,15.71,90.46,37.27
2004-05-20,22.33,0.0,0.0,0.0,20.37,20.37,87.23,28.33
2004-05-21,23.71,0.0,0.0,2.92,22.8,22.8,88.4,29.08
2004-05-24,29.66,0.0,4.91,23.24,29.9,29.9,88.08,31.57
2004-05-25,43.86,1.79,19.03,29.71,65.15,65.15,86.3,39.92
2004-05-26,42.93,3.3,12.61,30.86,63.7,63.7,86.0,40.35
2004-05-27,47.02,7.7,9.44,35.57,75.07,75.07,85.7,40.59
2004-05-28,48.72,7.4,23.01,36.61,70.36,70.36,85.41,47.89
2004-06-01,45.64,7.9,23.2,47.2,55.13,55.13,82.19,48.76
2004-06-02,44.26,10.49,21.37,37.38,57.26,57.26,79.01,47.05
2004-06-03,37.35,5.03,17.46,43.94,38.81,38.81,78.81,38.59
2004-06-04,38.85,8.96,10.36,43.1,42.34,42.34,77.13,47.74
2004-06-07,53.32,20.68,24.91,57.51,66.91,66.91,78.43,57.9
2004-06-08,56.06,21.68,17.17,66.51,72.96,72.96,78.24,62.88
2004-06-09,49.8,14.31,11.72,54.43,65.6,65.6,79.56,57.37
2004-06-10,53.07,17.51,9.03,69.99,71.59,71.59,77.87,53.89
2004-06-14,41.03,9.95,1.87,42.05,52.43,52.43,77.7,50.75
2004-06-15,48.45,14.42,7.28,54.67,70.62,70.62,74.49,47.02
2004-06-16,56.45,15.22,16.33,73.83,75.04,75.04,77.38,62.29
2004-06-17,50.91,13.99,18.57,61.84,68.43,68.43,74.14,50.95
2004-06-18,52.66,15.81,21.22,59.89,71.21,71.21,75.58,53.72
2004-06-21,52.46,12.58,24.32,67.57,66.04,66.04,75.41,55.25
2004-06-22,57.68,15.38,26.64,67.93,82.77,82.77,73.67,54.56
2004-06-23,62.52,21.98,40.82,66.95,88.09,88.09,71.94,59.77
2004-06-24,55.08,19.6,43.48,57.99,71.89,71.89,74.94,45.75
2004-06-25,58.13,15.36,66.48,78.58,64.65,64.65,73.19,44.0
2004-06-28,54.49,14.68,64.53,79.27,48.62,48.62,74.61,51.12
2004-06-29,54.06,16.78,56.97,64.57,59.85,59.85,72.85,47.51
2004-06-30,59.75,20.06,62.45,68.38,80.1,80.1,69.47,37.71
2004-07-01,52.51,12.08,62.88,69.33,63.78,63.78,69.32,26.43
2004-07-02,49.71,9.85,49.87,63.6,65.79,65.79,69.15,23.95
2004-07-06,39.17,4.02,37.78,60.25,44.92,44.92,68.99,13.32
2004-07-07,37.69,5.81,31.42,45.28,53.6,53.6,68.83,5.29
2004-07-08,30.91,0.0,13.8,39.18,47.01,47.01,68.67,0.74
2004-07-09,35.31,2.95,15.81,44.54,54.97,54.97,68.51,5.44
2004-07-12,38.06,4.49,8.62,41.63,69.44,69.44,68.35,4.42
2004-07-13,42.72,5.47,12.47,49.33,77.81,77.81,68.19,7.97
2004-07-14,45.47,3.36,8.46,42.85,89.22,89.22,69.67,15.52
2004-07-15,47.46,0.64,48.56,61.85,71.09,71.09,69.51,9.45
2004-07-16,40.39,0.0,17.18,40.14,76.97,76.97,67.69,3.79
2004-07-19,39.39,0.0,34.16,48.58,61.48,61.48,69.19,0.82
2004-07-20,41.71,4.12,16.1,35.0,78.71,78.71,65.71,13.64
2004-07-21,30.71,0.0,29.93,41.42,37.01,37.01,65.55,4.08
2004-07-22,27.75,0.0,11.46,20.45,47.72,47.72,65.4,1.53
2004-07-23,22.78,0.0,10.17,17.62,33.19,33.19,65.25,0.0
2004-07-26,15.57,0.0,0.0,0.0,18.31,18.31,66.79,5.56
2004-07-27,20.49,0.0,0.0,0.0,31.44,31.44,66.63,13.94
2004-07-28,22.86,0.69,0.0,0.0,38.09,38.09,66.48,16.68
2004-07-29,26.67,4.63,1.59,0.0,45.31,45.31,68.04,21.81
2004-07-30,28.29,6.07,0.0,0.0,50.61,50.61,67.88,22.84
2004-08-02,31.13,9.79,6.36,9.44,48.35,48.35,62.54,33.08
2004-08-03,25.89,5.95,0.0,12.34,34.82,34.82,62.39,30.89
2004-08-04,24.23,5.88,0.0,11.33,30.44,30.44,62.24,29.26
2004-08-05,14.68,0.0,0.0,17.52,0.0,0.0,62.08,23.19
2004-08-06,10.26,0.0,0.0,7.07,0.0,0.0,61.93,2.79
2004-08-09,12.84,0.0,0.0,21.92,0.0,0.0,61.77,6.17
2004-08-10,16.29,0.0,0.0,15.84,12.18,12.18,59.82,13.99
2004-08-11,13.98,0.0,0.0,13.99,3.38,3.38,65.08,12.06
2004-08-12,10.35,0.0,0.0,0.0,0.0,0.0,64.93,7.53
2004-08-13,13.7,0.0,0.0,0.14,7.64,7.64,62.95,17.54
2004-08-16,19.19,2.54,0.0,11.65,15.36,15.36,60.95,28.46
2004-08-17,21.05,4.79,0.0,14.46,25.26,25.26,60.79,16.8
2004-08-18,28.64,13.38,0.0,12.01,39.46,39.46,62.51,33.68
2004-08-19,25.33,11.64,0.0,20.58,27.62,27.62,60.46,29.41
2004-08-20,34.86,16.36,7.01,29.06,44.64,44.64,60.31,42.03
2004-08-23,34.71,15.28,0.0,30.79,47.1,47.1,60.15,42.54
2004-08-24,35.3,16.1,0.0,28.19,56.44,56.44,61.91,28.05
2004-08-25,42.23,21.69,7.05,49.62,62.44,62.44,61.76,30.6
2004-08-26,38.77,22.18,2.15,32.35,63.61,63.61,61.6,25.89
2004-08-27,40.75,24.19,0.0,31.33,66.87,66.87,61.45,34.52
2004-08-30,34.82,19.6,0.33,28.76,54.33,54.33,61.29,25.11
2004-08-31,36.93,23.02,0.0,29.98,56.94,56.94,61.14,30.48
2004-09-01,40.6,24.43,1.87,39.78,63.69,63.69,58.99,31.79
2004-09-02,50.96,32.08,9.49,50.25,74.56,74.56,58.84,56.91
2004-09-03,54.72,29.64,2.22,56.99,80.5,80.5,58.69,74.52
2004-09-07,54.92,34.42,10.12,50.15,77.27,77.27,58.53,76.66
2004-09-08,49.43,31.63,0.0,44.33,76.7,76.7,58.38,58.29
2004-09-09,54.99,32.99,11.94,61.43,76.94,76.94,58.22,66.47
2004-09-10,60.62,36.4,21.27,69.57,80.84,80.84,58.06,77.36
2004-09-13,63.33,37.55,13.34,75.74,90.06,90.06,59.97,76.63
2004-09-14,56.28,39.08,14.15,49.12,82.65,82.65,59.82,66.48
2004-09-15,51.81,34.47,16.04,60.13,63.47,63.47,59.66,65.41
2004-09-16,52.93,36.48,28.82,61.71,67.29,67.29,59.5,49.41
2004-09-17,56.18,39.54,25.43,62.27,72.74,72.74,61.48,59.06
2004-09-20,53.9,35.75,38.87,61.59,65.4,65.4,63.46,46.81
2004-09-21,61.45,39.99,49.47,76.27,78.23,78.23,61.17,46.8
2004-09-22,53.08,30.53,49.28,79.93,59.54,59.54,61.01,31.71
2004-09-23,53.19,27.58,61.4,76.17,58.77,58.77,60.85,28.8
2004-09-24,50.88,28.78,36.8,64.68,67.46,67.46,58.49,32.49
2004-09-27,47.29,25.06,35.09,67.54,61.5,61.5,56.1,24.22
2004-09-28,54.53,29.19,39.16,67.79,74.74,74.74,58.15,37.94
2004-09-29,58.83,32.21,34.87,68.99,85.12,85.12,57.98,47.54
2004-09-30,65.89,32.25,67.82,83.71,81.76,81.76,64.67,49.24
2004-10-01,68.87,42.54,65.32,76.89,91.03,91.03,66.83,48.45
2004-10-04,70.63,44.89,82.54,92.08,78.04,78.04,66.7,52.12
2004-10-05,63.39,44.64,70.18,79.0,67.14,67.14,68.92,46.69
2004-10-06,70.67,49.27,67.9,88.56,77.97,77.97,71.17,61.87
2004-10-07,62.09,42.56,75.3,80.47,55.33,55.33,71.05,54.62
2004-10-08,54.43,37.65,71.21,71.43,45.16,45.16,70.92,39.47
2004-10-11,51.35,39.15,43.59,61.9,51.1,51.1,70.79,41.85
2004-10-12,50.59,37.76,52.02,65.63,44.87,44.87,70.66,38.34
2004-10-13,48.36,33.02,55.5,66.35,38.05,38.05,73.0,34.56
2004-10-14,41.9,27.07,59.4,60.05,20.04,20.04,75.35,31.35
2004-10-15,47.39,30.35,48.25,56.65,44.12,44.12,77.71,30.53
2004-10-18,48.72,34.06,46.21,47.37,48.57,48.57,75.03,41.26
2004-10-19,42.67,27.76,45.13,40.12,39.56,39.56,74.86,31.69
2004-10-20,50.32,28.37,64.12,49.41,43.86,43.86,79.76,42.89
2004-10-21,52.96,30.42,73.01,46.28,48.45,48.45,79.58,44.55
2004-10-22,52.48,24.25,94.28,71.08,33.29,33.29,74.3,36.88
2004-10-25,48.25,24.09,100.0,79.58,8.74,8.74,74.16,42.46
2004-10-26,50.66,34.14,100.0,74.62,12.16,12.16,74.02,47.54
2004-10-27,58.1,42.84,100.0,85.63,24.3,24.3,76.48,53.13
2004-10-28,54.05,44.07,94.95,55.0,30.29,30.29,73.7,50.07
2004-10-29,50.84,45.78,100.0,72.95,13.89,13.89,73.55,35.83
2004-11-01,50.59,46.0,100.0,59.04,14.3,14.3,81.32,39.14
2004-11-02,51.79,46.07,100.0,61.23,16.37,16.37,83.79,38.7
2004-11-03,63.49,53.73,97.33,59.7,55.85,55.85,83.6,38.4
2004-11-04,68.91,64.73,100.0,68.47,56.89,56.89,83.44,51.95
2004-11-05,74.63,67.08,100.0,73.34,59.0,59.0,88.64,75.36
2004-11-08,77.05,65.99,100.0,87.1,59.49,59.49,91.17,76.14
2004-11-09,79.88,65.18,100.0,91.11,62.46,62.46,99.02,78.92
